filing_date,result_quarter,table_index,row_number,mode,section,row_text,numeric_values,selected_value,source
2020-11-05,2020Q3,47,34,ACTUAL,total,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 781.5 | 781.5 | | - | - | - | | | | 817.2 | 817.2 | | | | | | | | 750.3 | 750.3 | | - | - | - | | | | 759.3 | 759.3 |,"[781.5, 781.5, 817.2, 817.2, 750.3, 750.3, 759.3, 759.3]",781.5,2020-11-05:EX-99.1:exh99-1110520.htm
2020-08-06,2020Q2,2,20,ACTUAL,ngl,Total | Total | Total | 101.2 | 101.2 | | | | | 131.1 | 131.1 | | | | | -23 | -23 | % | | | | 131.2 | 131.2 | | | | | 125.4 | 125.4 | | | | | 5 | 5 | %,"[101.2, 101.2, 131.1, 131.1, -23.0, -23.0, 131.2, 131.2, 125.4, 125.4, 5.0, 5.0]",101.2,2020-08-06:EX-99.1:exh99-1080620.htm
2020-08-06,2020Q2,2,31,ACTUAL,gas,Total | Total | Total | 1147 | 1147 | | | | | 1356 | 1356 | | | | | -15 | -15 | % | | | | 1262 | 1262 | | | | | 1332 | 1332 | | | | | -5 | -5 | %,"[1147.0, 1147.0, 1356.0, 1356.0, -15.0, -15.0, 1262.0, 1262.0, 1332.0, 1332.0, -5.0, -5.0]",1147.0,2020-08-06:EX-99.1:exh99-1080620.htm
2020-08-06,2020Q2,2,43,ACTUAL,total,Total | Total | Total | 623.4 | 623.4 | | | | | 812.8 | 812.8 | | | | | -23 | -23 | % | | | | 748.8 | 748.8 | | | | | 793.3 | 793.3 | | | | | -6 | -6 | %,"[623.4, 623.4, 812.8, 812.8, -23.0, -23.0, 748.8, 748.8, 793.3, 793.3, -6.0, -6.0]",623.4,2020-08-06:EX-99.1:exh99-1080620.htm
2020-08-06,2020Q2,2,50,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2020-08-06:EX-99.1:exh99-1080620.htm
2020-08-06,2020Q2,46,25,ACTUAL,ngl,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 125.0 | 125.0 | | - | - | - | | | | 135.0 | 135.0 | | | | | | | | 130.0 | 130.0 | | - | - | - | | | | 140.0 | 140.0 |,"[125.0, 125.0, 135.0, 135.0, 130.0, 130.0, 140.0, 140.0]",125.0,2020-08-06:EX-99.1:exh99-1080620.htm
2020-08-06,2020Q2,46,30,ACTUAL,gas,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 1125 | 1125 | | - | - | - | | | | 1215 | 1215 | | | | | | | | 1185 | 1185 | | - | - | - | | | | 1300 | 1300 |,"[1125.0, 1125.0, 1215.0, 1215.0, 1185.0, 1185.0, 1300.0, 1300.0]",1125.0,2020-08-06:EX-99.1:exh99-1080620.htm
2020-08-06,2020Q2,46,35,ACTUAL,total,Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | Total | | | | 676.1 | 676.1 | | - | - | - | | | | 711.7 | 711.7 | | | | | | | | 730.1 | 730.1 | | - | - | - | | | | 765.9 | 765.9 |,"[676.1, 676.1, 711.7, 711.7, 730.1, 730.1, 765.9, 765.9]",676.1,2020-08-06:EX-99.1:exh99-1080620.htm
2020-05-07,2020Q1,31,23,ACTUAL,ngl,Total | 161.3 | 161.3 | | | 119.8 | 119.8 | | | 35 | %,"[161.3, 161.3, 119.8, 119.8, 35.0]",161.3,2020-05-07:EX-99.1:exh99-1050720.htm
2020-05-07,2020Q1,31,34,ACTUAL,gas,Total | 1378 | 1378 | | | 1308 | 1308 | | | 5 | %,"[1378.0, 1378.0, 1308.0, 1308.0, 5.0]",1378.0,2020-05-07:EX-99.1:exh99-1050720.htm
2020-05-07,2020Q1,31,46,ACTUAL,total,Total | 874.1 | 874.1 | | | 773.6 | 773.6 | | | 13 | %,"[874.1, 874.1, 773.6, 773.6, 13.0]",874.1,2020-05-07:EX-99.1:exh99-1050720.htm
2020-05-07,2020Q1,79,28,ACTUAL,ngl,Total | Total | Total | Total | Total | | 85.0 | | - | | 95.0 | | | | 105.0 | | - | | 125.0 |,"[85.0, 95.0, 105.0, 125.0]",85.0,2020-05-07:EX-99.1:exh99-1050720.htm
2020-05-07,2020Q1,79,34,ACTUAL,gas,Total | Total | Total | Total | Total | | 1050 | | - | | 1140 | | | | 1140 | | - | | 1270 |,"[1050.0, 1140.0, 1140.0, 1270.0]",1050.0,2020-05-07:EX-99.1:exh99-1050720.htm
2020-05-07,2020Q1,79,40,ACTUAL,total,Total | Total | Total | Total | Total | | 560.2 | | - | | 605.8 | | | | 671.4 | | - | | 739.6 |,"[560.2, 605.8, 671.4, 739.6]",560.2,2020-05-07:EX-99.1:exh99-1050720.htm
2020-02-27,2019Q4,34,23,ACTUAL,ngl,Total | 144.0 | 144.0 | | | 122.8 | 122.8 | | | 17 | % | | 134.1 | 134.1 | | | 116.1 | 116.1 | | | 16 | %,"[144.0, 144.0, 122.8, 122.8, 17.0, 134.1, 134.1, 116.1, 116.1, 16.0]",144.0,2020-02-27:EX-99.1:exh99-1022720.htm
2020-02-27,2019Q4,34,34,ACTUAL,gas,Total | 1425 | 1425 | | | 1236 | 1236 | | | 15 | % | | 1366 | 1366 | | | 1219 | 1219 | | | 12 | %,"[1425.0, 1425.0, 1236.0, 1236.0, 15.0, 1366.0, 1366.0, 1219.0, 1219.0, 12.0]",1425.0,2020-02-27:EX-99.1:exh99-1022720.htm
2020-02-27,2019Q4,34,46,ACTUAL,total,Total | 850.3 | 850.3 | | | 764.5 | 764.5 | | | 11 | % | | 818.0 | 818.0 | | | 719.2 | 719.2 | | | 14 | %,"[850.3, 850.3, 764.5, 764.5, 11.0, 818.0, 818.0, 719.2, 719.2, 14.0]",850.3,2020-02-27:EX-99.1:exh99-1022720.htm
2020-02-27,2019Q4,81,28,ACTUAL,ngl,Total | Total | Total | Total | Total | | 150.0 | | - | | 160.0 | | | | 157.0 | | - | | 177.0 |,"[150.0, 160.0, 157.0, 177.0]",150.0,2020-02-27:EX-99.1:exh99-1022720.htm
2020-02-27,2019Q4,81,34,ACTUAL,gas,Total | Total | Total | Total | Total | | 1300 | | - | | 1400 | | | | 1375 | | - | | 1525 |,"[1300.0, 1400.0, 1375.0, 1525.0]",1300.0,2020-02-27:EX-99.1:exh99-1022720.htm
2020-02-27,2019Q4,81,40,ACTUAL,total,Total | Total | Total | Total | Total | | 846.2 | | - | | 881.2 | | | | 886.2 | | - | | 950.1 |,"[846.2, 881.2, 886.2, 950.1]",846.2,2020-02-27:EX-99.1:exh99-1022720.htm
2019-11-06,2019Q3,33,23,ACTUAL,ngl,Total | 141.3 | 141.3 | | | 127.8 | 127.8 | | | 11 | % | | 130.8 | 130.8 | | | 113.9 | 113.9 | | | 15 | %,"[141.3, 141.3, 127.8, 127.8, 11.0, 130.8, 130.8, 113.9, 113.9, 15.0]",141.3,2019-11-06:EX-99.1:exh99-1110619.htm
2019-11-06,2019Q3,33,34,ACTUAL,gas,Total | 1373 | 1373 | | | 1236 | 1236 | | | 11 | % | | 1346 | 1346 | | | 1214 | 1214 | | | 11 | %,"[1373.0, 1373.0, 1236.0, 1236.0, 11.0, 1346.0, 1346.0, 1214.0, 1214.0, 11.0]",1373.0,2019-11-06:EX-99.1:exh99-1110619.htm
2019-11-06,2019Q3,33,46,ACTUAL,total,Total | 834.2 | 834.2 | | | 748.8 | 748.8 | | | 11 | % | | 807.1 | 807.1 | | | 704.0 | 704.0 | | | 15 | %,"[834.2, 834.2, 748.8, 748.8, 11.0, 807.1, 807.1, 704.0, 704.0, 15.0]",834.2,2019-11-06:EX-99.1:exh99-1110619.htm
2019-11-06,2019Q3,67,28,ACTUAL,ngl,Total | Total | Total | Total | Total | | 135.0 | | - | | 145.0 | | | | 131.8 | | - | | 134.4 |,"[135.0, 145.0, 131.8, 134.4]",135.0,2019-11-06:EX-99.1:exh99-1110619.htm
2019-11-06,2019Q3,67,34,ACTUAL,gas,Total | Total | Total | Total | Total | | 1344 | | - | | 1438 | | | | 1346 | | - | | 1370 |,"[1344.0, 1438.0, 1346.0, 1370.0]",1344.0,2019-11-06:EX-99.1:exh99-1110619.htm
2019-11-06,2019Q3,67,40,ACTUAL,total,Total | Total | Total | Total | Total | | 818.9 | | - | | 854.9 | | | | 810.1 | | - | | 819.2 |,"[818.9, 854.9, 810.1, 819.2]",818.9,2019-11-06:EX-99.1:exh99-1110619.htm
2019-08-01,2019Q2,29,23,ACTUAL,ngl,Total | 131.1 | 131.1 | | | 112.9 | 112.9 | | | 16 | % | | 125.4 | 125.4 | | | 106.8 | 106.8 | | | 17 | %,"[131.1, 131.1, 112.9, 112.9, 16.0, 125.4, 125.4, 106.8, 106.8, 17.0]",131.1,2019-08-01:EX-99.1:exh99-1080119.htm
2019-08-01,2019Q2,29,34,ACTUAL,gas,Total | 1356 | 1356 | | | 1228 | 1228 | | | 10 | % | | 1332 | 1332 | | | 1202 | 1202 | | | 11 | %,"[1356.0, 1356.0, 1228.0, 1228.0, 10.0, 1332.0, 1332.0, 1202.0, 1202.0, 11.0]",1356.0,2019-08-01:EX-99.1:exh99-1080119.htm
2019-08-01,2019Q2,29,46,ACTUAL,total,Total | 812.8 | 812.8 | | | 702.2 | 702.2 | | | 16 | % | | 793.3 | 793.3 | | | 681.2 | 681.2 | | | 16 | %,"[812.8, 812.8, 702.2, 702.2, 16.0, 793.3, 793.3, 681.2, 681.2, 16.0]",812.8,2019-08-01:EX-99.1:exh99-1080119.htm
2019-08-01,2019Q2,60,28,ACTUAL,ngl,Total | Total | Total | Total | Total | | 128.0 | | - | | 138.0 | | | | 125.0 | | - | | 135.0 |,"[128.0, 138.0, 125.0, 135.0]",128.0,2019-08-01:EX-99.1:exh99-1080119.htm
2019-08-01,2019Q2,60,34,ACTUAL,gas,Total | Total | Total | Total | Total | | 1275 | | - | | 1375 | | | | 1310 | | - | | 1390 |,"[1275.0, 1375.0, 1310.0, 1390.0]",1275.0,2019-08-01:EX-99.1:exh99-1080119.htm
2019-08-01,2019Q2,60,40,ACTUAL,total,Total | Total | Total | Total | Total | | 794.0 | | - | | 831.1 | | | | 793.8 | | - | | 822.6 |,"[794.0, 831.1, 793.8, 822.6]",794.0,2019-08-01:EX-99.1:exh99-1080119.htm
2019-05-02,2019Q1,32,23,ACTUAL,ngl,Total | | 119.8 | | | 100.6 |,"[119.8, 100.6]",119.8,2019-05-02:EX-99.1:exh99-1050219.htm
2019-05-02,2019Q1,32,34,ACTUAL,gas,Total | | 1308 | | | 1176 |,"[1308.0, 1176.0]",1308.0,2019-05-02:EX-99.1:exh99-1050219.htm
2019-05-02,2019Q1,32,46,ACTUAL,total,Total | | 773.6 | | | 659.9 |,"[773.6, 659.9]",773.6,2019-05-02:EX-99.1:exh99-1050219.htm
2019-05-02,2019Q1,62,28,ACTUAL,ngl,Total | Total | Total | Total | Total | | 122.0 | | - | | 132.0 | | | | 120.0 | | - | | 140.0 |,"[122.0, 132.0, 120.0, 140.0]",122.0,2019-05-02:EX-99.1:exh99-1050219.htm
2019-05-02,2019Q1,62,34,ACTUAL,gas,Total | Total | Total | Total | Total | | 1300 | | - | | 1390 | | | | 1310 | | - | | 1460 |,"[1300.0, 1390.0, 1310.0, 1460.0]",1300.0,2019-05-02:EX-99.1:exh99-1050219.htm
2019-05-02,2019Q1,62,40,ACTUAL,total,Total | Total | Total | Total | Total | | 785.6 | | - | | 818.7 | | | | 781.4 | | - | | 842.3 |,"[785.6, 818.7, 781.4, 842.3]",785.6,2019-05-02:EX-99.1:exh99-1050219.htm
2019-02-26,2018Q4,30,23,ACTUAL,ngl,Total | | 122.8 | | | | 100.6 | | | | 116.1 | | | | 88.4 |,"[122.8, 100.6, 116.1, 88.4]",122.8,2019-02-26:EX-99:exh99-1022619.htm
2019-02-26,2018Q4,30,34,ACTUAL,gas,Total | | 1236 | | | | 1160 | | | | 1219 | | | | 1103 |,"[1236.0, 1160.0, 1219.0, 1103.0]",1236.0,2019-02-26:EX-99:exh99-1022619.htm
2019-02-26,2018Q4,30,46,ACTUAL,total,Total | | 764.5 | | | | 662.0 | | | | 719.2 | | | | 608.9 |,"[764.5, 662.0, 719.2, 608.9]",764.5,2019-02-26:EX-99:exh99-1022619.htm
2019-02-26,2018Q4,67,28,ACTUAL,ngl,Total | Total | Total | Total | Total | | 115.0 | | - | | 125.0 | | | | 120.0 | | - | | 140.0 |,"[115.0, 125.0, 120.0, 140.0]",115.0,2019-02-26:EX-99:exh99-1022619.htm
2019-02-26,2018Q4,67,34,ACTUAL,gas,Total | Total | Total | Total | Total | | 1225 | | - | | 1315 | | | | 1310 | | - | | 1460 |,"[1225.0, 1315.0, 1310.0, 1460.0]",1225.0,2019-02-26:EX-99:exh99-1022619.htm
2019-02-26,2018Q4,67,40,ACTUAL,total,Total | Total | Total | Total | Total | | 746.1 | | - | | 779.2 | | | | 781.4 | | - | | 842.3 |,"[746.1, 779.2, 781.4, 842.3]",746.1,2019-02-26:EX-99:exh99-1022619.htm
2018-11-01,2018Q3,31,23,ACTUAL,ngl,Total | | 127.8 | | | | 87.4 | | | | 113.9 | | | | 84.3 |,"[127.8, 87.4, 113.9, 84.3]",127.8,2018-11-01:EX-99.1:exh99-1110118.htm
2018-11-01,2018Q3,31,34,ACTUAL,gas,Total | | 1236 | | | | 1096 | | | | 1214 | | | | 1083 |,"[1236.0, 1096.0, 1214.0, 1083.0]",1236.0,2018-11-01:EX-99.1:exh99-1110118.htm
2018-11-01,2018Q3,31,46,ACTUAL,total,Total | | 748.8 | | | | 598.1 | | | | 704.0 | | | | 591.0 |,"[748.8, 598.1, 704.0, 591.0]",748.8,2018-11-01:EX-99.1:exh99-1110118.htm
2018-11-01,2018Q3,64,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 115.0 | | - | | 125.0 | | | | 114.1 | | - | | 116.7 |,"[115.0, 125.0, 114.1, 116.7]",115.0,2018-11-01:EX-99.1:exh99-1110118.htm
2018-11-01,2018Q3,64,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1225 | | - | | 1315 | | | | 1217 | | - | | 1239 |,"[1225.0, 1315.0, 1217.0, 1239.0]",1225.0,2018-11-01:EX-99.1:exh99-1110118.htm
2018-11-01,2018Q3,64,36,ACTUAL,total,Total | Total | Total | Total | Total | | 747.7 | | - | | 779.9 | | | | 714.9 | | - | | 723.2 |,"[747.7, 779.9, 714.9, 723.2]",747.7,2018-11-01:EX-99.1:exh99-1110118.htm
2018-08-02,2018Q2,31,23,ACTUAL,ngl,Total | | 112.9 | | | | 86.6 | | | | 106.8 | | | | 82.7 |,"[112.9, 86.6, 106.8, 82.7]",112.9,2018-08-02:EX-99.1:exh99-1080218.htm
2018-08-02,2018Q2,31,34,ACTUAL,gas,Total | | 1228 | | | | 1096 | | | | 1202 | | | | 1077 |,"[1228.0, 1096.0, 1202.0, 1077.0]",1228.0,2018-08-02:EX-99.1:exh99-1080218.htm
2018-08-02,2018Q2,31,46,ACTUAL,total,Total | | 702.2 | | | | 603.9 | | | | 681.2 | | | | 587.4 |,"[702.2, 603.9, 681.2, 587.4]",702.2,2018-08-02:EX-99.1:exh99-1080218.htm
2018-08-02,2018Q2,62,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 110.0 | | - | | 120.0 | | | | 108.0 | | - | | 114.0 |,"[110.0, 120.0, 108.0, 114.0]",110.0,2018-08-02:EX-99.1:exh99-1080218.htm
2018-08-02,2018Q2,62,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1230 | | - | | 1320 | | | | 1225 | | - | | 1281 |,"[1230.0, 1320.0, 1225.0, 1281.0]",1230.0,2018-08-02:EX-99.1:exh99-1080218.htm
2018-08-02,2018Q2,62,36,ACTUAL,total,Total | Total | Total | Total | Total | | 716.5 | | - | | 754.6 | | | | 706.7 | | - | | 728.3 |,"[716.5, 754.6, 706.7, 728.3]",716.5,2018-08-02:EX-99.1:exh99-1080218.htm
2018-05-03,2018Q1,36,23,ACTUAL,ngl,Total | | 100.6 | | | | 78.8 |,"[100.6, 78.8]",100.6,2018-05-03:EX-99.1:exh99-1050318.htm
2018-05-03,2018Q1,36,34,ACTUAL,gas,Total | | 1176 | | | | 1058 |,"[1176.0, 1058.0]",1176.0,2018-05-03:EX-99.1:exh99-1050318.htm
2018-05-03,2018Q1,36,46,ACTUAL,total,Total | | 659.9 | | | | 570.7 |,"[659.9, 570.7]",659.9,2018-05-03:EX-99.1:exh99-1050318.htm
2018-05-03,2018Q1,61,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 100.0 | | - | | 110.0 | | | | 100.0 | | - | | 110.0 |,"[100.0, 110.0, 100.0, 110.0]",100.0,2018-05-03:EX-99.1:exh99-1050318.htm
2018-05-03,2018Q1,61,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1175 | | - | | 1245 | | | | 1178 | | - | | 1278 |,"[1175.0, 1245.0, 1178.0, 1278.0]",1175.0,2018-05-03:EX-99.1:exh99-1050318.htm
2018-05-03,2018Q1,61,36,ACTUAL,total,Total | Total | Total | Total | Total | | 670.3 | | - | | 706.2 | | | | 685.8 | | - | | 728.5 |,"[670.3, 706.2, 685.8, 728.5]",670.3,2018-05-03:EX-99.1:exh99-1050318.htm
2018-02-27,2017Q4,33,23,ACTUAL,ngl,Total | | 100.6 | | | | 80.9 | | | | 88.4 | | | | 81.6 |,"[100.6, 80.9, 88.4, 81.6]",100.6,2018-02-27:EX-99.1:exh99-1022718.htm
2018-02-27,2017Q4,33,34,ACTUAL,gas,Total | | 1160 | | | | 1145 | | | | 1103 | | | | 1175 |,"[1160.0, 1145.0, 1103.0, 1175.0]",1160.0,2018-02-27:EX-99.1:exh99-1022718.htm
2018-02-27,2017Q4,33,46,ACTUAL,total,Total | | 662.0 | | | | 583.5 | | | | 608.9 | | | | 560.0 |,"[662.0, 583.5, 608.9, 560.0]",662.0,2018-02-27:EX-99.1:exh99-1022718.htm
2018-02-27,2017Q4,62,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 93.0 | | - | | 103.0 | | | | 100.0 | | - | | 110.0 |,"[93.0, 103.0, 100.0, 110.0]",93.0,2018-02-27:EX-99.1:exh99-1022718.htm
2018-02-27,2017Q4,62,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1130 | | - | | 1210 | | | | 1178 | | - | | 1278 |,"[1130.0, 1210.0, 1178.0, 1278.0]",1130.0,2018-02-27:EX-99.1:exh99-1022718.htm
2018-02-27,2017Q4,62,36,ACTUAL,total,Total | Total | Total | Total | Total | | 631.9 | | - | | 670.4 | | | | 685.8 | | - | | 728.5 |,"[631.9, 670.4, 685.8, 728.5]",631.9,2018-02-27:EX-99.1:exh99-1022718.htm
2017-11-02,2017Q3,32,23,ACTUAL,ngl,Total | | 87.4 | | | | 81.9 | | | | 84.3 | | | | 81.9 |,"[87.4, 81.9, 84.3, 81.9]",87.4,2017-11-02:EX-99.1:exh99-1110217.htm
2017-11-02,2017Q3,32,34,ACTUAL,gas,Total | | 1096 | | | | 1144 | | | | 1083 | | | | 1184 |,"[1096.0, 1144.0, 1083.0, 1184.0]",1096.0,2017-11-02:EX-99.1:exh99-1110217.htm
2017-11-02,2017Q3,32,46,ACTUAL,total,Total | | 598.1 | | | | 555.2 | | | | 591.0 | | | | 552.1 |,"[598.1, 555.2, 591.0, 552.1]",598.1,2017-11-02:EX-99.1:exh99-1110217.htm
2017-11-02,2017Q3,55,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 84.0 | | - | | 94.0 | | | | 84.2 | | - | | 86.8 |,"[84.0, 94.0, 84.2, 86.8]",84.0,2017-11-02:EX-99.1:exh99-1110217.htm
2017-11-02,2017Q3,55,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1090 | | - | | 1185 | | | | 1085 | | - | | 1109 |,"[1090.0, 1185.0, 1085.0, 1109.0]",1090.0,2017-11-02:EX-99.1:exh99-1110217.htm
2017-11-02,2017Q3,55,36,ACTUAL,total,Total | Total | Total | Total | Total | | 628.1 | | - | | 662.2 | | | | 600.5 | | - | | 609.2 |,"[628.1, 662.2, 600.5, 609.2]",628.1,2017-11-02:EX-99.1:exh99-1110217.htm
2017-08-01,2017Q2,32,23,ACTUAL,ngl,Total | | 86.6 | | | | 84.3 | | | | 82.7 | | | | 81.8 |,"[86.6, 84.3, 82.7, 81.8]",86.6,2017-08-01:EX-99.1:exh99-1080117.htm
2017-08-01,2017Q2,32,34,ACTUAL,gas,Total | | 1096 | | | | 1194 | | | | 1077 | | | | 1205 |,"[1096.0, 1194.0, 1077.0, 1205.0]",1096.0,2017-08-01:EX-99.1:exh99-1080117.htm
2017-08-01,2017Q2,32,46,ACTUAL,total,Total | | 603.9 | | | | 551.1 | | | | 587.4 | | | | 550.4 |,"[603.9, 551.1, 587.4, 550.4]",603.9,2017-08-01:EX-99.1:exh99-1080117.htm
2017-08-01,2017Q2,55,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 77.0 | | - | | 83.0 | | | | 80.0 | | - | | 83.0 |,"[77.0, 83.0, 80.0, 83.0]",77.0,2017-08-01:EX-99.1:exh99-1080117.htm
2017-08-01,2017Q2,55,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1015 | | - | | 1110 | | | | 1046 | | - | | 1097 |,"[1015.0, 1110.0, 1046.0, 1097.0]",1015.0,2017-08-01:EX-99.1:exh99-1080117.htm
2017-08-01,2017Q2,55,36,ACTUAL,total,Total | Total | Total | Total | Total | | 581.7 | | - | | 613.7 | | | | 587.8 | | - | | 605.5 |,"[581.7, 613.7, 587.8, 605.5]",581.7,2017-08-01:EX-99.1:exh99-1080117.htm
2017-05-08,2017Q1,31,23,ACTUAL,ngl,Total | | 78.8 | | | | 79.4 |,"[78.8, 79.4]",78.8,2017-05-08:EX-99.1:exh99-1050817.htm
2017-05-08,2017Q1,31,34,ACTUAL,gas,Total | | 1058 | | | | 1215 |,"[1058.0, 1215.0]",1058.0,2017-05-08:EX-99.1:exh99-1050817.htm
2017-05-08,2017Q1,31,46,ACTUAL,total,Total | | 570.7 | | | | 549.9 |,"[570.7, 549.9]",570.7,2017-05-08:EX-99.1:exh99-1050817.htm
2017-05-08,2017Q1,52,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 72.0 | | - | | 78.0 | | | | 72.0 | | - | | 82.0 |,"[72.0, 78.0, 72.0, 82.0]",72.0,2017-05-08:EX-99.1:exh99-1050817.htm
2017-05-08,2017Q1,52,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1008 | | - | | 1094 | | | | 1025 | | - | | 1105 |,"[1008.0, 1094.0, 1025.0, 1105.0]",1008.0,2017-05-08:EX-99.1:exh99-1050817.htm
2017-05-08,2017Q1,52,36,ACTUAL,total,Total | Total | Total | Total | Total | | 562.2 | | - | | 592.7 | | | | 567.1 | | - | | 608.7 |,"[562.2, 592.7, 567.1, 608.7]",562.2,2017-05-08:EX-99.1:exh99-1050817.htm
2017-02-27,2016Q4,33,23,ACTUAL,ngl,Total | | 80.9 | | | | 79.1 | | | | 81.6 | | | | 77.0 | |,"[80.9, 79.1, 81.6, 77.0]",80.9,2017-02-27:EX-99.1:exh99-1022717.htm
2017-02-27,2016Q4,33,34,ACTUAL,gas,Total | | 1145 | | | | 1257 | | | | 1175 | | | | 1265 | |,"[1145.0, 1257.0, 1175.0, 1265.0]",1145.0,2017-02-27:EX-99.1:exh99-1022717.htm
2017-02-27,2016Q4,33,46,ACTUAL,total,Total | | 583.5 | | | | 569.5 | | | | 560.0 | | | | 572.2 | |,"[583.5, 569.5, 560.0, 572.2]",583.5,2017-02-27:EX-99.1:exh99-1022717.htm
2017-02-27,2016Q4,59,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 72.0 | | - | | 78.0 | | | | 72.0 | | - | | 82.0 |,"[72.0, 78.0, 72.0, 82.0]",72.0,2017-02-27:EX-99.1:exh99-1022717.htm
2017-02-27,2016Q4,59,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 988 | | - | | 1064 | | | | 1025 | | - | | 1105 |,"[988.0, 1064.0, 1025.0, 1105.0]",988.0,2017-02-27:EX-99.1:exh99-1022717.htm
2017-02-27,2016Q4,59,36,ACTUAL,total,Total | Total | Total | Total | Total | | 539.0 | | - | | 569.8 | | | | 567.1 | | - | | 608.7 |,"[539.0, 569.8, 567.1, 608.7]",539.0,2017-02-27:EX-99.1:exh99-1022717.htm
2016-11-03,2016Q3,31,23,ACTUAL,ngl,Total | | 81.9 | | | | 77.8 | | | | 81.9 | | | | 76.3 | |,"[81.9, 77.8, 81.9, 76.3]",81.9,2016-11-03:EX-99.1:exh99-1110316.htm
2016-11-03,2016Q3,31,34,ACTUAL,gas,Total | | 1144 | | | | 1274 | | | | 1184 | | | | 1268 | |,"[1144.0, 1274.0, 1184.0, 1268.0]",1144.0,2016-11-03:EX-99.1:exh99-1110316.htm
2016-11-03,2016Q3,31,46,ACTUAL,total,Total | | 555.2 | | | | 569.6 | | | | 552.1 | | | | 573.1 | |,"[555.2, 569.6, 552.1, 573.1]",555.2,2016-11-03:EX-99.1:exh99-1110316.htm
2016-11-03,2016Q3,54,24,ACTUAL,ngl,Total | Total | Total | Total | Total | | 79.0 | | - | | 83.0 | | | | 81.1 | | - | | 82.2 |,"[79.0, 83.0, 81.1, 82.2]",79.0,2016-11-03:EX-99.1:exh99-1110316.htm
2016-11-03,2016Q3,54,30,ACTUAL,gas,Total | Total | Total | Total | Total | | 1130 | | - | | 1194 | | | | 1172 | | - | | 1187 |,"[1130.0, 1194.0, 1172.0, 1187.0]",1130.0,2016-11-03:EX-99.1:exh99-1110316.htm
2016-11-03,2016Q3,54,36,ACTUAL,total,Total | Total | Total | Total | Total | | 562.7 | | - | | 591.8 | | | | 554.9 | | - | | 562.2 |,"[562.7, 591.8, 554.9, 562.2]",562.7,2016-11-03:EX-99.1:exh99-1110316.htm
2016-08-04,2016Q2,32,23,ACTUAL,ngl,Total | | 84.3 | | | | 73.5 | | | | 81.8 | | | | 75.5 |,"[84.3, 73.5, 81.8, 75.5]",84.3,2016-08-04:EX-99.1:exh99-1080416.htm
