source,dataset,series_id,observation_period,vintage_value,release_date,available_at,revision_number,source_hash,vintage_status,pit_eligible,report_period,source_path,value_changed_from_prior_vintage
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-07,328.377,2022-08-11,2022-08-11T12:30:00+00:00,0,ae34da19289a63408a2fb3bff85b8cabd280953a7d9ed34b96640f91d09a2474,INITIAL_RELEASE,True,2022-07,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-07,326.785,2022-09-14,2022-09-14T12:30:00+00:00,1,c2c292e8acbcd398e4dc492fd658f1faf4f12cbb18a82397057efed5b8861d4f,SUBSEQUENT_PUBLICATION,True,2022-08,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-07,328.022,2022-10-12,2022-10-12T12:30:00+00:00,2,614d88726979e134f312823a9895b7949677c42e26428eea8f3b62d639ee71ea,SUBSEQUENT_PUBLICATION,True,2022-09,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-07,327.772,2022-11-15,2022-11-15T13:30:00+00:00,3,1d0847f74fc6cf1cee99b18e45b51749b5401eddcec41a0d56c17e0a3fcbbfd0,SUBSEQUENT_PUBLICATION,True,2022-10,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-october-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-07,327.86,2022-12-09,2022-12-09T13:30:00+00:00,4,c406aa946e99ed3b0f20abed36b5bc186c8d5be4981f688307a005c60cc1fa3e,SUBSEQUENT_PUBLICATION,True,2022-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-november-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-08,331.175,2022-09-14,2022-09-14T12:30:00+00:00,0,c2c292e8acbcd398e4dc492fd658f1faf4f12cbb18a82397057efed5b8861d4f,INITIAL_RELEASE,True,2022-08,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-08,330.912,2022-10-12,2022-10-12T12:30:00+00:00,1,614d88726979e134f312823a9895b7949677c42e26428eea8f3b62d639ee71ea,SUBSEQUENT_PUBLICATION,True,2022-09,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-08,331.368,2022-11-15,2022-11-15T13:30:00+00:00,2,1d0847f74fc6cf1cee99b18e45b51749b5401eddcec41a0d56c17e0a3fcbbfd0,SUBSEQUENT_PUBLICATION,True,2022-10,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-october-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-08,331.48,2022-12-09,2022-12-09T13:30:00+00:00,3,c406aa946e99ed3b0f20abed36b5bc186c8d5be4981f688307a005c60cc1fa3e,SUBSEQUENT_PUBLICATION,True,2022-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-november-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-08,331.685,2023-01-18,2023-01-18T13:30:00+00:00,4,dcb3e876948240c0dcdca3376e89f8822a831e0a2e0ef2848afaaefb5fd7985a,SUBSEQUENT_PUBLICATION,True,2022-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-december-2022.xlsx,True
