period,filing_date,accession_number,document_type,document_name,source_url,source_path,metadata_sha256,actual_sha256,hash_match,model_use,selection_reason,pdf_parsing_used
2016Q4,2017-02-16,0001501585-17-000002,EX-99.1,hii2016q4earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000002/hii2016q4earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-02-16_0001501585-17-000002_EX-99.1_hii2016q4earningsrelease.htm,3b1e096440a538a42e70adc12fa0721f84c68b81beb971d8a045f354c6512630,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2016Q4,2017-02-16,0001501585-17-000002,EX-99.2,hiiq42016earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000002/hiiq42016earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-02-16_0001501585-17-000002_EX-99.2_hiiq42016earningspresent.htm,ceb7bff740486a4dc2df8b7f4f41e3ad412a11c2b3bf38f16047280933b2e22b,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
,2017-05-04,0001193125-17-158909,EX-99.1,d335390dex991.htm,https://www.sec.gov/Archives/edgar/data/1501585/000119312517158909/d335390dex991.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-05-04_0001193125-17-158909_EX-99.1_d335390dex991.htm,65c36fdba2ee53fcd75a3c3bc2a0c913200842dc43786bb614153db58eb5ef1d,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2017Q1,2017-05-04,0001501585-17-000008,EX-99.1,hii2017q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000008/hii2017q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-05-04_0001501585-17-000008_EX-99.1_hii2017q1earningsrelease.htm,c3137a1ef4f2388138e5eb77fda804c7dc7b2411588140557ee55b29587b1435,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2017Q1,2017-05-04,0001501585-17-000008,EX-99.2,hiiq12017earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000008/hiiq12017earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-05-04_0001501585-17-000008_EX-99.2_hiiq12017earningspresent.htm,78967a1e0a6bb48bc797f33419e945ab5fd925c280bbcae502e65676e156940e,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2017Q2,2017-08-03,0001501585-17-000018,EX-99.1,hii2017q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000018/hii2017q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-08-03_0001501585-17-000018_EX-99.1_hii2017q2earningsrelease.htm,c25985fb9a368fc95c097b426f24fb303b3384e72a40ee2e9d5b1228f10e3967,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2017Q2,2017-08-03,0001501585-17-000018,EX-99.2,hiiq22017earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000018/hiiq22017earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-08-03_0001501585-17-000018_EX-99.2_hiiq22017earningspresent.htm,41f33261265002565518ba3cba014986db5473309bd90c5627e6fd910defee90,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2017Q3,2017-11-08,0001501585-17-000022,EX-99.1,hii2017q3earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000022/hii2017q3earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-11-08_0001501585-17-000022_EX-99.1_hii2017q3earningsrelease.htm,071c7e3e408f153cbbbb238cacb8dc85759a333582333538d54dc213fe86cd1e,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2017Q3,2017-11-08,0001501585-17-000022,EX-99.2,hiiq32017earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000022/hiiq32017earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-11-08_0001501585-17-000022_EX-99.2_hiiq32017earningspresent.htm,168c4efb1de5d1171c6a4218e55cd0bd1ac974dac2706fb4c1d332098d9d9796,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
,2017-11-13,0001193125-17-340604,EX-99.1,d457083dex991.htm,https://www.sec.gov/Archives/edgar/data/1501585/000119312517340604/d457083dex991.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-11-13_0001193125-17-340604_EX-99.1_d457083dex991.htm,0a394355108f0bb8467f6c561d89da4e63af80372a93033a300758570a96204a,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
,2017-11-16,0001193125-17-344919,EX-99.1,d471481dex991.htm,https://www.sec.gov/Archives/edgar/data/1501585/000119312517344919/d471481dex991.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-11-16_0001193125-17-344919_EX-99.1_d471481dex991.htm,68c191bbcab77882e26df3e7d2b5991177c55b4cd78f8947ece36073a3d4c7f0,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
,2017-11-16,0001193125-17-344919,EX-99.2,d471481dex992.htm,https://www.sec.gov/Archives/edgar/data/1501585/000119312517344919/d471481dex992.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2017-11-16_0001193125-17-344919_EX-99.2_d471481dex992.htm,f75bd6b50410ef7bff58f5138cdf98ed4b4cd7656946ab4dfc18f69deff34667,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
