form,period,filing_date,report_date,accession_number,metric,value_usd,available,selected_concept,selected_context_ref,selection_rule,source_url,source_sha256,evidence_layer
10-Q,2021Q2,2021-08-05,2021-06-30,0001501585-21-000029,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,NOTE
10-Q,2021Q3,2021-11-04,2021-09-30,0001501585-21-000036,receivables_usd,446000000.0,True,AccountsReceivableNetCurrent,ifaace755861848aab47e0acb36dc72c6_I20210930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,FINANCIAL_STATEMENT
10-Q,2021Q3,2021-11-04,2021-09-30,0001501585-21-000036,intangibles_ex_goodwill_usd,1187000000.0,True,FiniteLivedIntangibleAssetsNet,ifaace755861848aab47e0acb36dc72c6_I20210930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,FINANCIAL_STATEMENT
10-Q,2021Q3,2021-11-04,2021-09-30,0001501585-21-000036,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,FINANCIAL_STATEMENT
10-Q,2021Q3,2021-11-04,2021-09-30,0001501585-21-000036,debt_noncurrent_usd,3321000000.0,True,LongTermDebtNoncurrent,ifaace755861848aab47e0acb36dc72c6_I20210930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,FINANCIAL_STATEMENT
10-Q,2021Q3,2021-11-04,2021-09-30,0001501585-21-000036,contract_liabilities_usd,674000000.0,True,ContractWithCustomerLiabilityCurrent,ifaace755861848aab47e0acb36dc72c6_I20210930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,NOTE
10-Q,2021Q3,2021-11-04,2021-09-30,0001501585-21-000036,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,NOTE
10-Q,2021Q3,2021-11-04,2021-09-30,0001501585-21-000036,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,NOTE
10-K,2021Q4,2022-02-10,2021-12-31,0001501585-22-000007,receivables_usd,433000000.0,True,AccountsReceivableNetCurrent,i484a7b82751e42f7a1e9bcceaa5f9d09_I20211231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,FINANCIAL_STATEMENT
10-K,2021Q4,2022-02-10,2021-12-31,0001501585-22-000007,intangibles_ex_goodwill_usd,1159000000.0,True,FiniteLivedIntangibleAssetsNet,i484a7b82751e42f7a1e9bcceaa5f9d09_I20211231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,FINANCIAL_STATEMENT
10-K,2021Q4,2022-02-10,2021-12-31,0001501585-22-000007,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,FINANCIAL_STATEMENT
10-K,2021Q4,2022-02-10,2021-12-31,0001501585-22-000007,debt_noncurrent_usd,3298000000.0,True,LongTermDebtNoncurrent,i484a7b82751e42f7a1e9bcceaa5f9d09_I20211231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,FINANCIAL_STATEMENT
10-K,2021Q4,2022-02-10,2021-12-31,0001501585-22-000007,contract_liabilities_usd,651000000.0,True,BillingsInExcessOfCostCurrent,i484a7b82751e42f7a1e9bcceaa5f9d09_I20211231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,NOTE
10-K,2021Q4,2022-02-10,2021-12-31,0001501585-22-000007,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,NOTE
10-K,2021Q4,2022-02-10,2021-12-31,0001501585-22-000007,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,NOTE
10-Q,2022Q1,2022-05-05,2022-03-31,0001501585-22-000013,receivables_usd,671000000.0,True,AccountsReceivableNetCurrent,i7179186e4030407fbf4fa2cf2dc2a70c_I20220331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000013/hii-20220331.htm,96a62a56e1834c7bb671cad2d29f436e668ae020b3abe4064a2b666789b79cce,FINANCIAL_STATEMENT
10-Q,2022Q1,2022-05-05,2022-03-31,0001501585-22-000013,intangibles_ex_goodwill_usd,1124000000.0,True,FiniteLivedIntangibleAssetsNet,i7179186e4030407fbf4fa2cf2dc2a70c_I20220331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000013/hii-20220331.htm,96a62a56e1834c7bb671cad2d29f436e668ae020b3abe4064a2b666789b79cce,FINANCIAL_STATEMENT
10-Q,2022Q1,2022-05-05,2022-03-31,0001501585-22-000013,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000013/hii-20220331.htm,96a62a56e1834c7bb671cad2d29f436e668ae020b3abe4064a2b666789b79cce,FINANCIAL_STATEMENT
