series_id,series_title,reference_period,reference_date,value,footnotes,pit_model_input_allowed,authority,source_url,source_path,source_sha256,retrieved_at_utc
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2021M12,2021-12-01,42.3,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M01,2022-01-01,42.2,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M02,2022-02-01,42.5,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M03,2022-03-01,42.7,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M04,2022-04-01,42.5,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M05,2022-05-01,42.1,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M06,2022-06-01,41.8,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M07,2022-07-01,42.2,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M08,2022-08-01,42.0,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2022M09,2022-09-01,42.3,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
