ticker,subindustry,base_financial_quarter,primary_anchor,anchor_route,scenario,probability,probability_class,assumption_validation,growth_pct,operating_margin_pct,roic_pct,reinvestment_rate_pct,wacc_pct,terminal_growth_pct,tax_rate_pct,historical_observations,minimum_history_pass,anchor_growth_override_used,anchor_growth_pct,anchor_growth_source,fixed_ratio_used,production_eligible
NOG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PLAUSIBLE,PASS,-15.0,-20.0,2.0,-50.0,8.02484968517377,1.0,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
NOG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,12.980183021620462,25.20171480304018,15.649913152100314,82.94092686308896,6.52484968517377,2.0,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
NOG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PLAUSIBLE,PASS,20.0,50.0,35.0,57.14285714285714,5.52484968517377,2.5,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
OVV,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PLAUSIBLE,PASS,-15.0,9.318229843517631,4.673447903866864,-50.0,9.556340874834937,1.0,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
OVV,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,-9.266864438867056,19.311086124067188,12.489576022447302,-50.0,8.056340874834937,2.0,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
OVV,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PLAUSIBLE,PASS,20.0,27.39447067836396,25.145345427309472,79.53758304023418,7.056340874834937,2.5,21.0,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
PR,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PLAUSIBLE,PASS,-8.072226181564403,-2.261171945864199,2.0,-50.0,8.300062718082774,1.0,21.111458985598,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
PR,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,20.0,35.30303962215461,10.119341583764463,150.0,6.800062718082775,2.0,21.111458985598,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
PR,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PLAUSIBLE,PASS,20.0,42.865308037931584,13.128763372272234,150.0,5.800062718082775,2.5,21.111458985598,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
PSX,refining,2026Q1,THROUGHPUT_PLUS_REFINING_MARGIN,P2.1_REVENUE_PLUS_THROUGHPUT_CRACK_CAPTURE_BRIDGE,BEAR,0.2,PLAUSIBLE,PASS,20.0,2.308620461720376,5.511723258723026,150.0,8.217358221700078,1.0,15.769230769230768,20,True,True,55.67752477273085,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,False,False
PSX,refining,2026Q1,THROUGHPUT_PLUS_REFINING_MARGIN,P2.1_REVENUE_PLUS_THROUGHPUT_CRACK_CAPTURE_BRIDGE,BASE,0.6,PROBABLE,PASS,20.0,4.720919975556704,10.920077218748204,150.0,6.717358221700079,2.0,15.769230769230768,20,True,True,55.67752477273085,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,False,False
