ticker,subindustry,variable,test,target_enterprise_value_usd,solved_assumption,original_assumption,assumption_error,forward_roundtrip_error_pct,solver_status
RRC,ep,growth,A_FORWARD_BASE_TO_REVERSE,11363438932.027668,-6.94317472493276,-6.943174724937089,4.32898161761841e-12,5.539036664808404e-12,SOLVED
RRC,ep,growth,B_MARKET_REVERSE_TO_FORWARD,10493656908.57792,-12.959385785507038,-6.943174724937089,,-1.286875341738473e-11,SOLVED
RRC,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,11363438932.027668,30.268185113032814,30.268185113006247,2.6567192890070146e-11,8.778533865741802e-11,SOLVED
RRC,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,10493656908.57792,27.951393211260438,30.268185113006247,,1.1760004888485762e-11,SOLVED
RRC,ep,roic,A_FORWARD_BASE_TO_REVERSE,11363438932.027668,11.729776689480063,11.729776689472088,7.975842208907125e-12,5.69010130112136e-12,SOLVED
RRC,ep,roic,B_MARKET_REVERSE_TO_FORWARD,10493656908.57792,6.131551737958218,11.729776689472088,,5.107513715091962e-12,SOLVED
SLB,services,growth,A_FORWARD_BASE_TO_REVERSE,82653753140.46674,8.727281333645806,8.727281333669472,-2.3666402171329537e-11,-3.1550013782792445e-11,SOLVED
SLB,services,growth,B_MARKET_REVERSE_TO_FORWARD,88565754601.17613,14.01123689650558,8.727281333669472,,4.0728809353215823e-11,SOLVED
SLB,services,operating_margin,A_FORWARD_BASE_TO_REVERSE,82653753140.46674,15.637098965933546,15.63709896593311,4.369837824924616e-13,2.8245477523506405e-12,SOLVED
SLB,services,operating_margin,B_MARKET_REVERSE_TO_FORWARD,88565754601.17613,16.755578749551205,15.63709896593311,,-5.840552610296178e-12,SOLVED
SLB,services,roic,A_FORWARD_BASE_TO_REVERSE,82653753140.46674,14.384734116157052,14.384734116103347,5.370459632558777e-11,8.787481896201992e-11,SOLVED
SLB,services,roic,B_MARKET_REVERSE_TO_FORWARD,88565754601.17613,20.665945135359657,14.384734116103347,,-6.200633877420632e-11,SOLVED
SM,ep,growth,A_FORWARD_BASE_TO_REVERSE,28356136968.84457,17.33508493809495,17.33508493804462,5.0331294687566697e-11,8.373029022724968e-11,SOLVED
SM,ep,growth,B_MARKET_REVERSE_TO_FORWARD,10041861860.113743,,17.33508493804462,,13.053576186002017,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
SM,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,28356136968.84457,36.89338983502239,36.89338983505117,-2.8776980798284058e-11,-7.79993931133666e-11,SOLVED
SM,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,10041861860.113743,13.065190250781598,36.89338983505117,,7.217710127517531e-11,SOLVED
SM,ep,roic,A_FORWARD_BASE_TO_REVERSE,28356136968.84457,21.81220528447302,21.81220528458439,-1.113704684030381e-10,-9.567638561956937e-11,SOLVED
SM,ep,roic,B_MARKET_REVERSE_TO_FORWARD,10041861860.113743,4.904575147860532,21.81220528458439,,9.667932776069535e-12,SOLVED
VLO,refining,growth,A_FORWARD_BASE_TO_REVERSE,67465388851.156235,-0.19848253403324634,-0.1984825340406651,7.418760050725837e-12,9.239130520366701e-12,SOLVED
VLO,refining,growth,B_MARKET_REVERSE_TO_FORWARD,111383965978.9187,49.88817533641122,-0.1984825340406651,,-2.887805893878646e-11,SOLVED
VLO,refining,operating_margin,A_FORWARD_BASE_TO_REVERSE,67465388851.156235,4.430792090744944,4.430792090745537,-5.924150059399835e-13,-1.3366771450518289e-11,SOLVED
VLO,refining,operating_margin,B_MARKET_REVERSE_TO_FORWARD,111383965978.9187,7.315146386899869,4.430792090745537,,1.3630772601561918e-11,SOLVED
VLO,refining,roic,A_FORWARD_BASE_TO_REVERSE,67465388851.156235,12.47800515173294,12.478005151680483,5.2457593824328796e-11,6.811172965014522e-11,SOLVED
