ticker,subindustry,scenario,variable,raw_value,clipped_value,lower_bound,upper_bound,hit_lower_bound,hit_upper_bound,boundary_hit,boundary_side,same_boundary_all_three_scenarios
EQT,ep,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
ET,midstream,BEAR,growth,4.924739605410002,4.924739605410002,-5.0,12.0,False,False,False,NONE,False
ET,midstream,BEAR,operating_margin,9.849966349985792,9.849966349985792,0.0,40.0,False,False,False,NONE,False
ET,midstream,BEAR,reinvestment_rate,41.865537442048876,41.865537442048876,-50.0,150.0,False,False,False,NONE,False
ET,midstream,BEAR,roic,7.075914902097157,7.075914902097157,2.0,20.0,False,False,False,NONE,False
ET,midstream,BEAR,wacc,8.587428971306306,8.587428971306306,3.0,20.0,False,False,False,NONE,False
ET,midstream,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
ET,midstream,BASE,growth,7.112389077441145,7.112389077441145,-5.0,12.0,False,False,False,NONE,False
ET,midstream,BASE,operating_margin,13.05679824242517,13.05679824242517,0.0,40.0,False,False,False,NONE,False
ET,midstream,BASE,reinvestment_rate,55.55232333474491,55.55232333474491,-50.0,150.0,False,False,False,NONE,False
ET,midstream,BASE,roic,8.201627340167292,8.201627340167292,3.0,20.0,False,False,False,NONE,False
ET,midstream,BASE,wacc,7.087428971306306,7.087428971306306,3.0,20.0,False,False,False,NONE,False
ET,midstream,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
ET,midstream,BULL,growth,12.773730955169285,12.0,-5.0,12.0,False,True,True,UPPER,False
ET,midstream,BULL,operating_margin,16.081680160597344,16.081680160597344,0.0,40.0,False,False,False,NONE,False
ET,midstream,BULL,reinvestment_rate,81.50103082963926,81.50103082963926,-50.0,150.0,False,False,False,NONE,False
ET,midstream,BULL,roic,8.89559300808673,8.89559300808673,3.5,20.0,False,False,False,NONE,False
ET,midstream,BULL,wacc,6.087428971306306,6.087428971306306,3.0,20.0,False,False,False,NONE,False
ET,midstream,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
FANG,ep,BEAR,growth,10.301626126364706,10.301626126364706,-15.0,20.0,False,False,False,NONE,False
FANG,ep,BEAR,operating_margin,25.951205845297356,25.951205845297356,-20.0,50.0,False,False,False,NONE,False
FANG,ep,BEAR,reinvestment_rate,91.46265630737078,91.46265630737078,-50.0,150.0,False,False,False,NONE,False
FANG,ep,BEAR,roic,6.178273506721853,6.178273506721853,2.0,35.0,False,False,False,NONE,False
FANG,ep,BEAR,wacc,7.420453693081896,7.420453693081896,3.0,20.0,False,False,False,NONE,False
FANG,ep,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
FANG,ep,BASE,growth,16.513298132646565,16.513298132646565,-15.0,20.0,False,False,False,NONE,False
FANG,ep,BASE,operating_margin,46.766288937009925,46.766288937009925,-20.0,50.0,False,False,False,NONE,False
FANG,ep,BASE,reinvestment_rate,60.70793205703301,60.70793205703301,-50.0,150.0,False,False,False,NONE,False
FANG,ep,BASE,roic,15.247841184290348,15.247841184290348,3.0,35.0,False,False,False,NONE,False
FANG,ep,BASE,wacc,5.920453693081896,5.920453693081896,3.0,20.0,False,False,False,NONE,False
FANG,ep,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
FANG,ep,BULL,growth,25.427746473044444,20.0,-15.0,20.0,False,True,True,UPPER,False
FANG,ep,BULL,operating_margin,58.8701851529093,50.0,-20.0,50.0,False,True,True,UPPER,False
FANG,ep,BULL,reinvestment_rate,49.01089818842187,49.01089818842187,-50.0,150.0,False,False,False,NONE,False
FANG,ep,BULL,roic,22.954078410784263,22.954078410784263,3.5,35.0,False,False,False,NONE,False
FANG,ep,BULL,wacc,4.920453693081896,4.920453693081896,3.0,20.0,False,False,False,NONE,False
FANG,ep,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
HAL,services,BEAR,growth,2.018694150644519,2.018694150644519,-15.0,20.0,False,False,False,NONE,False
HAL,services,BEAR,operating_margin,10.534061267317222,10.534061267317222,-10.0,30.0,False,False,False,NONE,False
HAL,services,BEAR,reinvestment_rate,14.270790091864457,14.270790091864457,-50.0,150.0,False,False,False,NONE,False
HAL,services,BEAR,roic,10.576478706548373,10.576478706548373,2.0,35.0,False,False,False,NONE,False
HAL,services,BEAR,wacc,8.465965631520497,8.465965631520497,3.0,20.0,False,False,False,NONE,False
HAL,services,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
HAL,services,BASE,growth,3.625756986536174,3.625756986536174,-15.0,20.0,False,False,False,NONE,False
HAL,services,BASE,operating_margin,13.29453349252246,13.29453349252246,-10.0,30.0,False,False,False,NONE,False
HAL,services,BASE,reinvestment_rate,19.785835217098253,19.785835217098253,-50.0,150.0,False,False,False,NONE,False
HAL,services,BASE,roic,14.216627513592615,14.216627513592615,3.0,35.0,False,False,False,NONE,False
HAL,services,BASE,wacc,6.965965631520496,6.965965631520496,3.0,20.0,False,False,False,NONE,False
HAL,services,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
HAL,services,BULL,growth,7.808407795378681,7.808407795378681,-15.0,20.0,False,False,False,NONE,False
HAL,services,BULL,operating_margin,17.280146754216958,17.280146754216958,-10.0,30.0,False,False,False,NONE,False
HAL,services,BULL,reinvestment_rate,25.356912466474054,25.356912466474054,-50.0,150.0,False,False,False,NONE,False
HAL,services,BULL,roic,20.326622590601414,20.326622590601414,3.5,35.0,False,False,False,NONE,False
HAL,services,BULL,wacc,5.965965631520496,5.965965631520496,3.0,20.0,False,False,False,NONE,False
HAL,services,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
KMI,midstream,BEAR,growth,1.9725201837373167,1.9725201837373167,-5.0,12.0,False,False,False,NONE,False
KMI,midstream,BEAR,operating_margin,18.374153151607842,18.374153151607842,0.0,40.0,False,False,False,NONE,False
KMI,midstream,BEAR,reinvestment_rate,30.992572945010178,30.992572945010178,-50.0,150.0,False,False,False,NONE,False
KMI,midstream,BEAR,roic,4.795536319316616,4.795536319316616,2.0,20.0,False,False,False,NONE,False
KMI,midstream,BEAR,wacc,7.606857137616917,7.606857137616917,3.0,20.0,False,False,False,NONE,False
KMI,midstream,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
KMI,midstream,BASE,growth,4.913425328077775,4.913425328077775,-5.0,12.0,False,False,False,NONE,False
KMI,midstream,BASE,operating_margin,24.817492447049435,24.817492447049435,0.0,40.0,False,False,False,NONE,False
KMI,midstream,BASE,reinvestment_rate,57.51072083894731,57.51072083894731,-50.0,150.0,False,False,False,NONE,False
KMI,midstream,BASE,roic,6.010553534390651,6.010553534390651,3.0,20.0,False,False,False,NONE,False
KMI,midstream,BASE,wacc,6.106857137616917,6.106857137616917,3.0,20.0,False,False,False,NONE,False
KMI,midstream,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
KMI,midstream,BULL,growth,8.020251582790719,8.020251582790719,-5.0,12.0,False,False,False,NONE,False
KMI,midstream,BULL,operating_margin,28.00816297143259,28.00816297143259,0.0,40.0,False,False,False,NONE,False
