ticker,subindustry,scenario,scenario_weight,scenario_weight_source,story_validation_class,enterprise_value_usd,adjusted_total_debt_usd,noncontrolling_interest_usd,preferred_stock_usd,cash_usd,nonoperating_assets_usd,common_equity_value_usd,shares_outstanding,fair_value_per_share,market_price,value_gap_pct,pv_explicit_fcff_usd,pv_terminal_value_usd,terminal_value_share,equity_reconciliation_error_usd,production_eligible
MTDR,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,29449750085.92203,3468941000.0,328185000.0,1000.0,30451000.0,0.0,25683074085.92203,124178227.0,206.8242936494981,58.380001068115234,254.27250747766266,4156064549.5303535,25293685536.391678,0.8588760672873387,0.0,False
MTDR,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,69364269585.65363,3468941000.0,328185000.0,1000.0,30451000.0,0.0,65597593585.653625,124178227.0,528.2535849513589,58.380001068115234,804.8536746942085,6100394350.469727,63263875235.1839,0.9120527847130758,0.0,False
NOG,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,-812486301.5861208,2551528000.0,0.0,0.0,37041000.0,0.0,-3326973301.5861206,105791123.0,-31.448511058778728,27.34000015258789,-215.0274721406757,886565465.4738703,-1699051767.0599911,2.0911758927419863,0.0,False
NOG,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,9247813996.209562,2551528000.0,0.0,0.0,37041000.0,0.0,6733326996.209562,105791123.0,63.64737234342018,27.34000015258789,132.79945862544403,1117696350.3810434,8130117645.828519,0.879139399771756,0.0,False
NOG,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,33393171644.24742,2551528000.0,0.0,0.0,37041000.0,0.0,30878684644.24742,105791123.0,291.8835131776361,27.34000015258789,967.606113930499,3218776395.4276314,30174395248.81979,0.903609743042119,0.0,False
OVV,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,6520652429.803373,6398000000.0,0.0,0.0,23000000.0,0.0,145652429.80337334,281018601.0,0.5183017397605411,66.82,-99.22433142807462,4334551787.188931,2186100642.614442,0.33525796170681077,0.0,False
OVV,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,20218592518.77266,6398000000.0,0.0,0.0,23000000.0,0.0,13843592518.77266,281018601.0,49.262192856666665,66.82,-26.276275281851735,7082263736.923138,13136328781.849522,0.6497152939628531,0.0,False
OVV,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,48096463705.58344,6398000000.0,0.0,0.0,23000000.0,0.0,41721463705.58344,281018601.0,148.46513204861995,66.82,122.18666873483981,9154034350.062988,38942429355.520454,0.8096734428107173,0.0,False
PR,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,-119519046.36390282,3546370000.0,0.0,0.0,170780000.0,0.0,-3495109046.363903,837288124.0,-4.174320578759222,23.75,-117.57608664740724,28226829.57493888,-147745875.9388417,1.2361701371762615,0.0,False
PR,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,27758366490.689705,3546370000.0,0.0,0.0,170780000.0,0.0,24382776490.689705,837288124.0,29.12113022003129,23.75,22.61528513697386,1815350006.1518478,25943016484.537857,0.9346016990315072,0.0,False
