ticker,year,kpi_production_mboe,kpi_quarters,kpi_min_quality,kpi_last_filing_date,g_and_a_usd,g_and_a_usd_source_tag,g_and_a_usd_scope,hedge_gain_loss_usd,hedge_gain_loss_usd_source_tag,hedge_gain_loss_usd_scope,upstream_revenue_usd,upstream_revenue_usd_source_tag,upstream_revenue_usd_scope,transport_cost_usd,transport_cost_usd_source_tag,transport_cost_usd_scope,production_tax_usd,production_tax_usd_source_tag,production_tax_usd_scope,transport_cost_per_boe,production_tax_per_boe,g_and_a_per_boe,hedge_gain_loss_per_boe,upstream_revenue_per_boe
EOG,2023,359439.7,4,1.0,2024-02-22,640000000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,818000000.0,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,DERIVATIVE_BROAD,,,,957000000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,,,,2.6624771832382454,,1.7805490044644485,2.275764196331123,
EOG,2024,388712.10000000003,4,1.0,2025-02-27,669000000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,204000000.0,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,DERIVATIVE_BROAD,,,,,,,,,,,,1.7210681118493607,0.5248100072007019,
EOG,2025,449757.5,4,1.0,2026-02-24,820000000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,13000000.0,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,DERIVATIVE_BROAD,,,,,,,,,,,,1.8232047269917677,0.02890446518401583,
EQT,2016,126494.5,4,0.65,2017-02-02,272747000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-248991000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,1594997000.0,us-gaap:OilAndGasSalesRevenue,OIL_GAS_SALES_BROAD,,,,,,,,,2.156196514472961,-1.9683938827379845,12.609220163722533
EQT,2017,135440.0,4,0.65,2018-02-15,262664000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,390021000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,2651318000.0,us-gaap:OilAndGasSalesRevenue,OIL_GAS_SALES_BROAD,,,,,,,,,1.93933845245127,2.879658889545186,19.57559066745422
EQT,2018,247963.66666666666,4,0.65,2019-02-14,284220000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-178591000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,1.1462163139492212,-0.7202305176430418,
EQT,2019,251166.66666666666,4,0.65,2020-02-27,253006000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,616634000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,1.0073231585932316,2.45507896483079,
EQT,2020,249666.6666666667,4,0.65,2021-02-17,174769000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,400214000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,0.7000093457943924,1.6029933244325767,
EQT,2021,309666.6666666666,4,0.65,2022-02-09,196315000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-3775042000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,0.6339558665231433,-12.190663078579119,
EQT,2022,323500.00000000006,4,0.65,2023-02-15,252645000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-4642932000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,0.7809737248840802,-14.35218547140649,
EQT,2023,336166.6666666666,4,0.65,2024-02-13,236171000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,1838941000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,0.702541398116014,5.470325235498265,
EQT,2024,371333.3333333334,4,0.65,2025-02-18,336724000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,51117000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,0.9067971274685815,0.13765798922800718,
EQT,2025,397000.0,4,0.65,2026-02-17,380066000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,290994000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,,,,,,,,,,,,0.9573450881612091,0.7329823677581864,
FANG,2020,112314.8,4,0.9,2021-02-22,88000000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-81000000.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,,,,,,,195000000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,,1.7361914903467752,0.7835120571821345,-0.7211872344517375,
FANG,2021,130152.0,4,0.9,2022-02-22,146000000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-848000000.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,6747000000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,425000000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,,3.265412748171369,1.121765320548282,-6.515458848116049,51.83938779273465
FANG,2023,163720.5,4,0.9,2024-02-20,150000000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-259000000.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,8228000000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,525000000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,,3.2066845630205134,0.9161955894344325,-1.5819643844234534,50.256382065776734
FANG,2024,221327.0,4,0.9,2025-02-24,213000000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,137000000.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,10100000000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,638000000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,,2.882612604878754,0.9623769354845997,0.6189936157811745,45.633835907955195
FANG,2025,336177.9,4,0.9,2026-02-23,288000000.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,341000000.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,13453000000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,851000000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,,2.531397810504498,0.8566892707700298,1.0143438935159033,40.017502637740314
MGY,2020,22633.0,4,0.8500000000000001,2021-02-22,68918000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,565000.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,,,,,,,,,,,,3.0450227543851898,0.02496354880042416,
MGY,2021,24099.7,4,0.95,2022-02-16,75279000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-3110000.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,,,,,,,,,,,,3.123648842101769,-0.12904724955082428,
MGY,2022,27501.8,4,0.95,2023-02-14,72426000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,0.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,,,,,,,,,,,,2.6335003527041865,0.0,
MGY,2023,30055.100000000002,4,0.95,2024-02-14,77102000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,0.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD,,,,,,,,,,,,2.565354964714807,0.0,
