issuer,filing_year,referenced_year,metric,original_filing_value_usd,repeated_value_usd,difference_usd,within_tolerance
CAT,2025,2024,financial_products_finance_receivables_current_usd,14957000000.0,14957000000.0,0.0,True
CAT,2025,2024,consolidated_short_term_borrowings_usd,4393000000.0,4393000000.0,0.0,True
CAT,2025,2024,mpe_short_term_borrowings_usd,0.0,0.0,0.0,True
CAT,2025,2024,financial_products_short_term_borrowings_usd,4393000000.0,4393000000.0,0.0,True
CAT,2025,2024,consolidated_debt_current_usd,6665000000.0,6665000000.0,0.0,True
CAT,2025,2024,mpe_debt_current_usd,46000000.0,46000000.0,0.0,True
CAT,2025,2024,financial_products_debt_current_usd,6619000000.0,6619000000.0,0.0,True
CAT,2025,2024,consolidated_debt_noncurrent_usd,27351000000.0,27351000000.0,0.0,True
CAT,2025,2024,mpe_debt_noncurrent_usd,8731000000.0,8731000000.0,0.0,True
CAT,2025,2024,financial_products_debt_noncurrent_usd,18787000000.0,18787000000.0,0.0,True
CAT,2025,2024,consolidated_equity_usd,19494000000.0,19494000000.0,0.0,True
CAT,2025,2024,mpe_equity_usd,16221000000.0,16221000000.0,0.0,True
CAT,2025,2024,financial_products_equity_usd,4246000000.0,4246000000.0,0.0,True
CFSC,2022,2021,total_revenue_usd,2562000000.0,2562000000.0,0.0,True
CFSC,2022,2021,interest_expense_usd,455000000.0,455000000.0,0.0,True
CFSC,2022,2021,credit_loss_provision_usd,70000000.0,70000000.0,0.0,True
CFSC,2022,2021,pretax_profit_usd,695000000.0,695000000.0,0.0,True
CFSC,2022,2021,standalone_profit_usd,505000000.0,505000000.0,0.0,True
CFSC,2022,2021,cash_usd,610000000.0,610000000.0,0.0,True
CFSC,2022,2021,short_term_borrowings_usd,5395000000.0,5395000000.0,0.0,True
CFSC,2022,2021,current_debt_usd,6307000000.0,6307000000.0,0.0,True
CFSC,2022,2021,long_term_debt_usd,16287000000.0,16287000000.0,0.0,True
CFSC,2022,2021,standalone_equity_usd,2981000000.0,2981000000.0,0.0,True
CFSC,2023,2022,total_revenue_usd,2734000000.0,2734000000.0,0.0,True
CFSC,2023,2022,interest_expense_usd,566000000.0,566000000.0,0.0,True
CFSC,2023,2022,credit_loss_provision_usd,81000000.0,81000000.0,0.0,True
CFSC,2023,2022,pretax_profit_usd,731000000.0,731000000.0,0.0,True
CFSC,2023,2022,standalone_profit_usd,535000000.0,535000000.0,0.0,True
CFSC,2023,2022,cash_usd,868000000.0,868000000.0,0.0,True
